Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Andhra Pradesh, 31-01-2016, M,17.91,20626291,62.67
Andhra Pradesh, 29-02-2016, M,9.98,19334918,53.5
Andhra Pradesh, 31-03-2016, M,10.72,19646970,54.73
Andhra Pradesh, 30-04-2016, M,5.51,18929583,49.76
Andhra Pradesh, 31-05-2016, M,6.29,21163390,56.02
Andhra Pradesh, 30-06-2016, M,4.51,18431598,47.81
Andhra Pradesh, 31-07-2016, M,4.87,19486726,50.67
Andhra Pradesh, 31-08-2016, M,4.03,18826519,48.45
Andhra Pradesh, 30-09-2016, M,7.6,19863483,53.02
Andhra Pradesh, 31-10-2016, M,10.06,19151488,52.44
Andhra Pradesh, 30-11-2016, M,5.23,19046358,49.43
Andhra Pradesh, 31-12-2016, M,4.64,18235985,46.97
Andhra Pradesh, 31-01-2017, M,5.85,19480036,50.74
Andhra Pradesh, 28-02-2017, M,4.75,18231391,46.88
Andhra Pradesh, 31-03-2017, M,3.06,18418217,46.47
Andhra Pradesh, 30-04-2017, M,3.52,18173679,46.01
Andhra Pradesh, 31-05-2017, M,2.3,17992099,44.91
Andhra Pradesh, 30-06-2017, M,3.65,17724207,44.8
Andhra Pradesh, 31-07-2017, M,2.66,17953658,44.85
Andhra Pradesh, 31-08-2017, M,3.43,17774825,44.7
Andhra Pradesh, 30-09-2017, M,6.59,18595636,48.28
Andhra Pradesh, 31-10-2017, M,3.51,17233209,43.25
Andhra Pradesh, 30-11-2017, M,3.32,18182263,45.48
Andhra Pradesh, 31-12-2017, M,4.01,18593687,46.77
Andhra Pradesh, 31-01-2018, M,5.79,17947085,45.93
Andhra Pradesh, 28-02-2018, M,3.97,17568645,44.06
Andhra Pradesh, 31-03-2018, M,4.22,17247729,43.3
Andhra Pradesh, 30-04-2018, M,3.65,17084469,42.58
Andhra Pradesh, 31-05-2018, M,4.01,17078661,42.66
Andhra Pradesh, 30-06-2018, M,4.51,16524370,41.44
