Date,Open,High,Low,Close,Adj Close,Volume
2016-09-01,190.825043,205.500046,190.825043,200.050049,151.223679,24913429
2016-10-01,201.550049,210.750046,201.175049,208.000046,160.468979,14164128
2016-11-01,208.500046,223.000061,189.525040,209.675049,161.761230,23076059
2016-12-01,213.250046,226.750061,211.575058,226.050049,174.394318,19562304
2017-01-01,226.350052,247.500061,217.333328,219.766663,169.546753,33479880
2017-02-01,221.333328,234.333328,213.466660,218.066666,168.235245,21147384
2017-03-01,220.399994,227.133331,214.333328,222.533340,176.534592,21561184
2017-04-01,222.266663,227.000000,214.600006,218.100006,173.017654,9615938
2017-05-01,218.100006,222.466660,198.166672,204.533340,162.255264,10377767
2017-06-01,205.266663,205.666672,171.399994,173.066666,137.292923,15330714
2017-07-01,173.333328,197.133331,171.733337,191.666672,152.048233,16337656
2017-08-01,193.966660,201.266663,180.333328,190.100006,150.805374,13866639
2017-09-01,191.966660,237.399994,190.866669,235.766663,187.032532,36695239
2017-10-01,235.766663,252.866669,222.500000,246.033340,198.085541,18110366
2017-11-01,249.933334,255.166672,231.399994,241.300003,194.274643,15445412
2017-12-01,241.066666,251.766663,230.066666,247.666672,199.400558,12399446
2018-01-01,249.333328,259.299988,238.300003,239.300003,192.664413,19248085
2018-02-01,239.933334,244.500000,217.833328,233.233337,187.780029,20967792
2018-03-01,232.966660,235.966660,212.199997,216.350006,181.190475,28409797
2018-04-01,220.500000,240.899994,213.000000,232.449997,194.674042,23482666
2018-05-01,232.449997,247.500000,203.949997,215.850006,180.771729,27665159
2018-06-01,218.000000,228.500000,199.199997,209.850006,175.746811,19282654
2018-07-01,210.250000,214.600006,203.250000,209.050003,175.076813,13930563
2018-08-01,210.600006,219.000000,203.500000,213.600006,178.887390,14069503
2018-09-01,215.000000,227.000000,199.500000,219.550003,183.870438,16066011
2018-10-01,223.800003,224.000000,181.000000,197.600006,166.307831,24129077
2018-11-01,198.000000,207.250000,185.350006,186.250000,156.755249,26419723
2018-12-01,186.250000,189.899994,168.550003,174.800003,147.118484,41211716
2019-01-01,175.000000,177.649994,165.100006,167.649994,141.100739,21638304
2019-02-01,168.000000,181.000000,167.649994,174.600006,146.950165,40365942
2019-03-01,175.100006,187.800003,171.500000,185.449997,163.806503,39805054
2019-04-01,185.399994,186.250000,174.050003,180.850006,159.743393,24514188
2019-05-01,180.850006,189.699997,172.000000,180.000000,158.992569,40058436
2019-06-01,179.649994,185.949997,171.350006,178.000000,157.225983,18271912
2019-07-01,178.050003,179.899994,151.500000,159.500000,140.885086,42523282
2019-08-01,157.699997,160.449997,139.649994,147.949997,130.683044,27214325
2019-09-01,147.949997,157.399994,141.800003,145.250000,129.798996,28659424
2019-10-01,144.500000,174.949997,141.149994,171.649994,153.390671,24133528
2019-11-01,172.500000,173.649994,150.050003,154.050003,137.662872,14302468
2019-12-01,154.050003,160.000000,148.399994,153.050003,136.769257,12786759
2020-01-01,153.300003,159.800003,127.900002,129.550003,115.769073,46692067
2020-02-01,129.500000,139.000000,105.500000,108.000000,96.511467,73030961
2020-03-01,110.900002,115.050003,63.500000,82.650002,78.993057,101878091
2020-04-01,81.349998,100.500000,74.250000,98.800003,94.428482,55219077
2020-05-01,98.800003,99.449997,69.000000,84.750000,81.000137,23477079
2020-06-01,86.000000,107.400002,83.199997,93.650002,89.506348,58452005
2020-07-01,93.699997,102.000000,92.699997,96.650002,92.373611,21596006
2020-08-01,96.650002,102.900002,93.800003,94.750000,90.557671,24050947
2020-09-01,95.300003,97.949997,83.500000,89.300003,85.348824,12604679
2020-10-01,87.650002,95.000000,84.000000,85.949997,83.529839,22179632
2020-11-01,86.000000,98.250000,83.500000,96.150002,93.442635,16559643
2020-12-01,97.000000,119.099998,94.750000,107.400002,104.375862,48235568
2021-01-01,109.000000,119.400002,107.800003,111.349998,108.214638,29172234
2021-02-01,111.900002,129.550003,110.599998,126.300003,122.743683,44309706
2021-03-01,127.300003,133.800003,115.199997,122.800003,122.800003,44491691
2021-04-01,122.800003,125.300003,112.000000,122.099998,122.099998,14299809
2021-05-01,121.500000,137.149994,119.750000,132.500000,132.500000,25376885
2021-06-01,133.000000,164.000000,133.000000,157.199997,157.199997,46368384
2021-07-01,157.399994,177.399994,153.100006,166.850006,166.850006,23224257
2021-08-01,168.899994,168.949997,161.649994,167.350006,167.350006,2610740
2021-08-06,163.899994,168.100006,162.850006,167.350006,167.350006,852421
