Date, Open, High, Low, Close
07/30/21, 52792.36, 52910.23, 52533.91, 52586.84
07/29/21, 52693.53, 52777.18, 52561.39, 52653.07
07/28/21, 52673.69, 52673.69, 51802.73, 52443.71
07/27/21, 52995.72, 53024.70, 52433.18, 52578.76
07/26/21, 52985.26, 53103.42, 52783.63, 52852.27
07/23/21, 52975.80, 53114.70, 52653.77, 52975.80
07/22/21, 52494.56, 52867.26, 52471.23, 52837.21
07/20/21, 52432.88, 52465.03, 52013.51, 52198.51
07/19/21, 52606.99, 52821.17, 52405.89, 52553.40
07/16/21, 53244.40, 53290.81, 52997.09, 53140.06
07/15/21, 52968.89, 53266.12, 52948.43, 53158.85
07/14/21, 52801.44, 52978.58, 52611.97, 52904.05
07/13/21, 52694.89, 52806.86, 52545.68, 52769.73
07/12/21, 52634.33, 52700.51, 52208.96, 52372.69
07/09/21, 52508.24, 52555.73, 52228.01, 52386.19
07/08/21, 53065.69, 53103.03, 52428.84, 52568.94
07/07/21, 52919.71, 53105.41, 52751.76, 53054.76
07/06/21, 52874.85, 53129.37, 52804.18, 52861.18
07/05/21, 52682.89, 52919.17, 52604.35, 52880.00
07/02/21, 52434.55, 52527.90, 52177.68, 52484.67
07/01/21, 52638.50, 52638.50, 52281.01, 52318.60
06/30/21, 52651.09, 52875.92, 52448.64, 52482.71
06/29/21, 52795.76, 52816.42, 52477.77, 52549.66
06/28/21, 53126.73, 53126.73, 52673.50, 52735.59
06/25/21, 52877.16, 52973.07, 52614.49, 52925.04
06/24/21, 52514.57, 52830.68, 52385.05, 52699.00
06/23/21, 52912.35, 52912.35, 52264.12, 52306.08
06/22/21, 52885.04, 53057.11, 52520.55, 52588.71
06/21/21, 51887.55, 52629.18, 51740.19, 52574.46
06/18/21, 52568.07, 52586.41, 51601.11, 52344.45
06/17/21, 52122.25, 52523.88, 52040.51, 52323.33
06/16/21, 52782.21, 52816.31, 52425.57, 52501.98
06/15/21, 52751.83, 52869.51, 52671.29, 52773.05
06/14/21, 52492.34, 52590.92, 51936.31, 52551.53
06/11/21, 52477.19, 52641.53, 52388.95, 52474.76
06/10/21, 52143.90, 52346.35, 51957.92, 52300.47
06/09/21, 52401.41, 52446.92, 51717.07, 51941.64
06/08/21, 52428.72, 52432.43, 52135.04, 52275.57
06/07/21, 52231.38, 52378.69, 52054.76, 52328.51
06/04/21, 52367.52, 52389.02, 51952.70, 52100.05
06/03/21, 52121.58, 52273.23, 51942.20, 52232.43
06/02/21, 51749.10, 51913.92, 51450.58, 51849.48
06/01/21, 52067.51, 52228.65, 51808.88, 51934.88
05/31/21, 51476.22, 52013.22, 51179.94, 51937.44
05/28/21, 51381.27, 51529.32, 51258.69, 51422.88
05/27/21, 51128.80, 51282.90, 50891.66, 51115.22
05/26/21, 50899.58, 51072.61, 50620.45, 51017.52
05/25/21, 50922.32, 50961.35, 50474.34, 50637.53
05/24/21, 50727.28, 50857.59, 50465.90, 50651.90
05/21/21, 49833.98, 50591.12, 49832.72, 50540.48
05/20/21, 49971.52, 50099.17, 49496.78, 49564.86
05/19/21, 50088.81, 50279.01, 49831.40, 49902.64
05/18/21, 49986.68, 50313.25, 49959.20, 50193.33
05/17/21, 48990.70, 49628.42, 48923.13, 49580.73
