location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
Afghanistan,AFG,22/02/2021,0,0,,,,0,0,,
Afghanistan,AFG,23/02/2021,,,,,1367,,,,35
Afghanistan,AFG,24/02/2021,,,,,1367,,,,35
Afghanistan,AFG,25/02/2021,,,,,1367,,,,35
Afghanistan,AFG,26/02/2021,,,,,1367,,,,35
Afghanistan,AFG,27/02/2021,,,,,1367,,,,35
Afghanistan,AFG,28/02/2021,8200,8200,,,1367,0.02,0.02,,35
Afghanistan,AFG,01/03/2021,,,,,1580,,,,41
Afghanistan,AFG,02/03/2021,,,,,1794,,,,46
Afghanistan,AFG,03/03/2021,,,,,2008,,,,52
Afghanistan,AFG,04/03/2021,,,,,2221,,,,57
Afghanistan,AFG,05/03/2021,,,,,2435,,,,63
Afghanistan,AFG,06/03/2021,,,,,2649,,,,68
Afghanistan,AFG,07/03/2021,,,,,2862,,,,74
Afghanistan,AFG,08/03/2021,,,,,2862,,,,74
Afghanistan,AFG,09/03/2021,,,,,2862,,,,74
Afghanistan,AFG,10/03/2021,,,,,2862,,,,74
Afghanistan,AFG,11/03/2021,,,,,2862,,,,74
Afghanistan,AFG,12/03/2021,,,,,2862,,,,74
Afghanistan,AFG,13/03/2021,,,,,2862,,,,74
Afghanistan,AFG,14/03/2021,,,,,2862,,,,74
Afghanistan,AFG,15/03/2021,,,,,2862,,,,74
Afghanistan,AFG,16/03/2021,54000,54000,,,2862,0.14,0.14,,74
Afghanistan,AFG,17/03/2021,,,,,2882,,,,74
Afghanistan,AFG,18/03/2021,,,,,2902,,,,75
Afghanistan,AFG,19/03/2021,,,,,2921,,,,75
Afghanistan,AFG,20/03/2021,,,,,2941,,,,76
Afghanistan,AFG,21/03/2021,,,,,2961,,,,76
Afghanistan,AFG,22/03/2021,,,,,2980,,,,77
Afghanistan,AFG,23/03/2021,,,,,3000,,,,77
Afghanistan,AFG,24/03/2021,,,,,3000,,,,77
Afghanistan,AFG,25/03/2021,,,,,3000,,,,77
Afghanistan,AFG,26/03/2021,,,,,3000,,,,77
Afghanistan,AFG,27/03/2021,,,,,3000,,,,77
Afghanistan,AFG,28/03/2021,,,,,3000,,,,77
Afghanistan,AFG,29/03/2021,,,,,3000,,,,77
Afghanistan,AFG,30/03/2021,,,,,3000,,,,77
Afghanistan,AFG,31/03/2021,,,,,3000,,,,77
Afghanistan,AFG,01/04/2021,,,,,3000,,,,77
Afghanistan,AFG,02/04/2021,,,,,3000,,,,77
Afghanistan,AFG,03/04/2021,,,,,3000,,,,77
Afghanistan,AFG,04/04/2021,,,,,3000,,,,77
Afghanistan,AFG,05/04/2021,,,,,3000,,,,77
Afghanistan,AFG,06/04/2021,,,,,3000,,,,77
Afghanistan,AFG,07/04/2021,120000,120000,,,3000,0.31,0.31,,77
Afghanistan,AFG,08/04/2021,,,,,3714,,,,95
Afghanistan,AFG,09/04/2021,,,,,4429,,,,114
Afghanistan,AFG,10/04/2021,,,,,5143,,,,132
Afghanistan,AFG,11/04/2021,,,,,5857,,,,150
Afghanistan,AFG,12/04/2021,,,,,6571,,,,169
Afghanistan,AFG,13/04/2021,,,,,7286,,,,187
Afghanistan,AFG,14/04/2021,,,,,8000,,,,206
Afghanistan,AFG,15/04/2021,,,,,8000,,,,206
Afghanistan,AFG,16/04/2021,,,,,8000,,,,206
Afghanistan,AFG,17/04/2021,,,,,8000,,,,206
Afghanistan,AFG,18/04/2021,,,,,8000,,,,206
Afghanistan,AFG,19/04/2021,,,,,8000,,,,206
Afghanistan,AFG,20/04/2021,,,,,8000,,,,206
Afghanistan,AFG,21/04/2021,,,,,8000,,,,206
Afghanistan,AFG,22/04/2021,240000,240000,,,8000,0.62,0.62,,206
Afghanistan,AFG,23/04/2021,,,,,8846,,,,227
Afghanistan,AFG,24/04/2021,,,,,9692,,,,249
Afghanistan,AFG,25/04/2021,,,,,10538,,,,271
Afghanistan,AFG,26/04/2021,,,,,11384,,,,292
Afghanistan,AFG,27/04/2021,,,,,12229,,,,314
Afghanistan,AFG,28/04/2021,,,,,13075,,,,336
Afghanistan,AFG,29/04/2021,,,,,13921,,,,358
Afghanistan,AFG,30/04/2021,,,,,13921,,,,358
Afghanistan,AFG,01/05/2021,,,,,13921,,,,358
Afghanistan,AFG,02/05/2021,,,,,13921,,,,358
Afghanistan,AFG,03/05/2021,,,,,13921,,,,358
Afghanistan,AFG,04/05/2021,,,,,13921,,,,358
Afghanistan,AFG,05/05/2021,,,,,13921,,,,358
Afghanistan,AFG,06/05/2021,,,,,13921,,,,358
Afghanistan,AFG,07/05/2021,,,,,13921,,,,358
