date,daily_vaccinations,location,day,month,year
2021-01-15,0.0,India,15,1,2021
2021-01-16,191181.0,India,16,1,2021
2021-01-17,112150.0,India,17,1,2021
2021-01-18,151350.0,India,18,1,2021
2021-01-19,168709.0,India,19,1,2021
2021-01-20,161297.0,India,20,1,2021
2021-01-21,173922.0,India,21,1,2021
2021-01-22,198656.0,India,22,1,2021
2021-01-23,198717.0,India,23,1,2021
2021-01-24,198743.0,India,24,1,2021
2021-01-25,224251.0,India,25,1,2021
2021-01-26,193521.0,India,26,1,2021
2021-01-27,221356.0,India,27,1,2021
2021-01-28,269217.0,India,28,1,2021
2021-01-29,301348.0,India,29,1,2021
2021-01-30,308876.0,India,30,1,2021
2021-01-31,306191.0,India,31,1,2021
2021-02-01,275192.0,India,1,2,2021
2021-02-02,301348.0,India,2,2,2021
2021-02-03,299082.0,India,3,2,2021
2021-02-04,290199.0,India,4,2,2021
2021-02-05,273832.0,India,5,2,2021
2021-02-06,290141.0,India,6,2,2021
2021-02-07,293360.0,India,7,2,2021
2021-02-08,329836.0,India,8,2,2021
2021-02-09,353235.0,India,9,2,2021
2021-02-10,366795.0,India,10,2,2021
2021-02-11,363652.0,India,11,2,2021
2021-02-12,364400.0,India,12,2,2021
2021-02-13,325305.0,India,13,2,2021
2021-02-14,353179.0,India,14,2,2021
2021-02-15,322538.0,India,15,2,2021
2021-02-16,320826.0,India,16,2,2021
2021-02-17,309949.0,India,17,2,2021
2021-02-18,334502.0,India,18,2,2021
2021-02-19,354614.0,India,19,2,2021
2021-02-20,397981.0,India,20,2,2021
2021-02-21,400080.0,India,21,2,2021
2021-02-22,415332.0,India,22,2,2021
2021-02-23,435722.0,India,23,2,2021
2021-02-24,454268.0,India,24,2,2021
2021-02-25,460075.0,India,25,2,2021
2021-02-26,472428.0,India,26,2,2021
2021-02-27,486318.0,India,27,2,2021
2021-02-28,459442.0,India,28,2,2021
2021-03-01,490006.0,India,1,3,2021
2021-03-02,530480.0,India,2,3,2021
2021-03-03,607059.0,India,3,3,2021
2021-03-04,705494.0,India,4,3,2021
2021-03-05,820109.0,India,5,3,2021
2021-03-06,954257.0,India,6,3,2021
2021-03-07,955392.0,India,7,3,2021
2021-03-08,1164942.0,India,8,3,2021
2021-03-09,1249594.0,India,9,3,2021
2021-03-10,1295566.0,India,10,3,2021
2021-03-11,1165631.0,India,11,3,2021
2021-03-12,1245822.0,India,12,3,2021
2021-03-13,1259438.0,India,13,3,2021
2021-03-14,1274147.0,India,14,3,2021
2021-03-15,1419814.0,India,15,3,2021
2021-03-16,1528090.0,India,16,3,2021
2021-03-17,1636892.0,India,17,3,2021
2021-03-18,1882128.0,India,18,3,2021
2021-03-19,1977848.0,India,19,3,2021
2021-03-20,2123633.0,India,20,3,2021
2021-03-21,2165423.0,India,21,3,2021
2021-03-22,2221023.0,India,22,3,2021
2021-03-23,2253821.0,India,23,3,2021
2021-03-24,2286065.0,India,24,3,2021
2021-03-25,2309232.0,India,25,3,2021
