Sl. No.,Country,Quantity,Date of Despatch,Quantity,Date of Despatch,Quantity,Date of Despatch,Total Supplies,Longitude,Latitude
1,Bangladesh,33,(20)21-Jan-21(12)26-March-21(1)2-Apr-21,70,5025-Jan-212022-Feb-21,Unnamed: 6_level_1,Unnamed: 7_level_1,103,90.2,24.6
2,Myanmar,17,(15 SII)22-Jan-21(2 BB)11-Feb-21,20,11-Feb-21,Unnamed: 6_level_2,Unnamed: 7_level_2,37,96.1,21.84
3,Nepal,11,(10)21-Jan-21(1)28-Mar-21,10,20-Feb-21,3.48,05-Mar-21,24.48,83.6,28.21
4,Bhutan,5.5,1.520-Jan-21421-Mar-21,Unnamed: 4_level_4,Unnamed: 5_level_4,Unnamed: 6_level_4,Unnamed: 7_level_4,5.5,90.3,27.53
5,Maldives,2,120-Jan-21119-Feb-21,1,29-Mar-21,0.12,06-Mar-21,3.12,73.5,4.22
6,Mauritius,1,22-Jan-21,3,(1 SII)19-Feb-21(2 BB)18-Mar-21,Unnamed: 6_level_6,Unnamed: 7_level_6,4,57.6,-20.25
7,Seychelles,0.5,22-Jan-21,Unnamed: 4_level_7,Unnamed: 5_level_7,Unnamed: 6_level_7,Unnamed: 7_level_7,0.5,55.5,-4.68
8,Sri Lanka,5,28-Jan-21,5,24-Feb-21,2.64,06-Mar-21,12.64,80.7,7.3
9,Bahrain,1,28-Jan-21,Unnamed: 4_level_9,Unnamed: 5_level_9,Unnamed: 6_level_9,Unnamed: 7_level_9,1,50.6,26.03
10,Brazil,Unnamed: 2_level_10,Unnamed: 3_level_10,40,2022-Jan-212022-Feb-21,Unnamed: 6_level_10,Unnamed: 7_level_10,40,-49,-11.69
11,Morocco,Unnamed: 2_level_11,Unnamed: 3_level_11,70,2022-Jan-214011-Feb-211024-Feb-21,Unnamed: 6_level_11,Unnamed: 7_level_11,70,-7.4,31.13
12,Oman,1,30-Jan-21,Unnamed: 4_level_12,Unnamed: 5_level_12,Unnamed: 6_level_12,Unnamed: 7_level_12,1,56.3,19.85
13,Egypt,Unnamed: 2_level_13,Unnamed: 3_level_13,0.5,30-Jan-21,Unnamed: 6_level_13,Unnamed: 7_level_13,0.5,28.7,26.16
14,Algeria,Unnamed: 2_level_14,Unnamed: 3_level_14,0.5,31-Jan-21,Unnamed: 6_level_14,Unnamed: 7_level_14,0.5,2.6,28.6
