Datetime,Tweet,Username,Retweets,Followers,CleanTweet
2021-07-11 23:34:03,'Insensitive': Confronting Australian COVID-19 ad campaign faces backlash https://t.co/BS2YENknqR,NewshubNZ,0,77763,'insensitive': confronting australian covid-19 ad campaign faces backlash
2021-07-11 23:34:03,RT @SolNataMD: Not having any medical history doesn't guarantee a mild covid course. These are the lungs of a person with no prior medical…,nanooMonroe,116,1257,rt: not having any medical history doesn't guarantee a mild covid course. these are the lungs of a person with no prior medical…
2021-07-11 23:34:03,RT @LucyTurnbull_AO: Thank  you 🙏🙏🙏unnamed  businnessman/ men and ⁦⁦@MrKRudd⁩ : Senior business figures turned to Kevin Rudd to intervene i…,dunny111,334,2495,rt: thank  you 🙏🙏🙏unnamed  businnessman/ men and ⁦⁦@mrkrudd⁩ senior business figures turned to kevin rudd to intervene i…
2021-07-11 23:34:03,"Wembley Park station, Covid Central https://t.co/aa6Gu6UHDJ",KuperSimon,0,74251,"wembley park station, covid central"
2021-07-11 23:34:03,For those interested in health systems options for long Covid management. https://t.co/LU6AByxJE5,JBPooket,0,2926,for those interested in health systems options for long covid management.
2021-07-11 23:34:02,"RT @EricTopol: Our covid times :-(
by @planteink https://t.co/uCDTyH4KFX",DrAndrewLoblaw,1087,2393,"rt: our covid times-(
by"
2021-07-11 23:34:02,"@MelodyMac51 I wonder who was responsible for the continuing confusion about the delays?  Not the PM

https://t.co/Hb54lYHJl6",katiebecker16,0,1348,"@melodymac51 i wonder who was responsible for the continuing confusion about the delays?  not the pm

https://t.co/hb54lyhjl6"
2021-07-11 23:34:01,"@GiselaFWilson @smenor I fully agree w C. 

As for the other two, that is the case for every communicable disease in existence &amp; at the moment, COVID is no more dangerous than others in areas w 50+% vaccination rates. We should be very vigilant of upticks in hospitalization rates though. https://t.co/3VQrcSz45Y",desertcran,0,1095,"@giselafwilson i fully agree w c. 

as for the other two, that is the case for every communicable disease in existence; at the moment, covid is no more dangerous than others in areas w+% vaccination rates. we should be very vigilant of upticks in hospitalization rates though."
2021-07-11 23:34:01,RT @myrabatchelder: .@NYCMayor @NYCHealthCommr Please require masks indoors! NY is making the exact same mistakes we made last year &amp; waiti…,vmcombs,10,3377,rt:@nycmayor please require masks indoors! ny is making the exact same mistakes we made last year; waiti…
2021-07-11 23:34:01,"RT @TheRickyDavila: Steven Mnuchin funneled $500B of PPP Covid relief loans, gave millions to himself, Kushner, Devin Nunes, Betsy DeVos, J…",bmeier79,2328,3744,"rt: steven mnuchin funneled500b of ppp covid relief loans, gave millions to himself, kushner, devin nunes, betsy devos, j…"
2021-07-11 23:34:01,"@justinwnewton As a citizen w/ NEXUS/GE, it's fine (although covid test).  As ESTA, it's not great (worse than EU).  As anyone else, probably better than Russia for US persons, but worse than China for US persons, and it might actually be worse than Russia-for-US if you're poor/non-white.",octal,0,10832,"@justinwnewton as a citizen w/ nexus/ge, it's finealthough covid test).  as esta, it's not greatworse than eu).  as anyone else, probably better than russia for us persons, but worse than china for us persons, and it might actually be worse than russia-for-us if you're poor/non-white."
2021-07-11 23:34:01,@elsbet My cousin is an FA for American and the stories that she has been telling these past few months… Plus she got COVID at work twice before she was vaccinated. Fortunately she’s mostly okay but she’s a cancer survivor and it’s scary. But she’s too young to retire.,amaditalks,0,21096,@elsbet my cousin is an fa for american and the stories that she has been telling these past few months… plus she got covid at work twice before she was vaccinated. fortunately she’s mostly okay but she’s a cancer survivor and it’s scary. but she’s too young to retire.
2021-07-11 23:34:00,"RT @CP24: As Toronto approaches a new milestone of 60 per cent of residents fully vaccinated against COVID-19, the city is launching a new…",TDotGinger,30,5627,"rt: as toronto approaches a new milestone of per cent of residents fully vaccinated against covid-19, the city is launching a new…"
2021-07-11 23:34:00,RT @Veer09Rudra: Are Covidiots inviting a much dreaded third Covid wave only to blame Modi Govt later? Did we not learn lessons from the se…,ShandilyaAjit19,9,4586,rt: are covidiots inviting a much dreaded third covid wave only to blame modi govt later? did we not learn lessons from the se…
2021-07-11 23:34:00,"RT @trishgreenhalgh: LONG THREAD on masks. Mute if not interested.
Do masks work? Why do some people claim they don’t work? Do they cause h…",view_cottage,1356,1280,"rt: long thread on masks. mute if not interested.
do masks work? why do some people claim they don’t work? do they cause h…"
2021-07-11 23:33:59,"RT @RachelBitecofer: Someone is coming to steal your ability to vote. 

Someone wants power to redistribute more of your wealth to their bi…",PatMalo28822361,469,2340,"rt: someone is coming to steal your ability to vote. 

someone wants power to redistribute more of your wealth to their bi…"
