Date,GDP
1996-04-01,7902844507580.48
1996-07-01,7941487893640.062
1996-10-01,8067406073854.2705
1997-01-01,8128102180305.188
1997-04-01,8161415070935.71
1997-07-01,8258767055373.062
1997-10-01,8390977995117.52
1998-01-01,8527757228947.972
1998-04-01,8639533629370.42
1998-07-01,8796319257819.959
1998-10-01,8911613452914.06
1999-01-01,9056351715326.82
1999-04-01,9290207690758.2
1999-07-01,9405901347212.91
1999-10-01,9561170231216.4
2000-01-01,9761909582765.72
2000-04-01,9775079044581.58
2000-07-01,9904862119656.42
2000-10-01,9909011337392.97
2001-01-01,9962585531799.793
2001-04-01,10169944037384.102
2001-07-01,10295731904813.3
2001-10-01,10532109899197.9
2002-01-01,10617114237458.8
2002-04-01,10683339733494.6
2002-07-01,10746752084488.6
2002-10-01,10755160454271.0
2003-01-01,10997269301373.602
2003-04-01,11275852038086.1
2003-07-01,11572645197201.5
2003-10-01,11952599099872.102
2004-01-01,11996165203447.5
2004-04-01,12281454837705.9
2004-07-01,12575919608786.5
2004-10-01,12819466473840.7
2005-01-01,13043931623150.7
2005-04-01,13457019763898.6
2005-07-01,13644262823425.602
2005-10-01,13989177109683.1
2006-01-01,14339686142118.1
2006-04-01,14545658699492.1
2006-07-01,15026101352160.9
2006-10-01,15283241202595.6
2007-01-01,15710162623224.8
2007-04-01,16106082043400.1
2007-07-01,16395101917248.3
2007-10-01,16948745543683.398
2008-01-01,17051438501605.498
2008-04-01,17229431952679.7
2008-07-01,17379369325892.2
2008-10-01,17400671663476.805
2009-01-01,17079431371805.498
2009-04-01,18070662988211.3
2009-07-01,18532166932853.3
2009-10-01,18926295709463.6
2010-01-01,19418413293999.0
2010-04-01,19884953215503.5
2010-07-01,20472748734848.906
2010-10-01,20947934844874.6
2011-01-01,21331416222487.7
2011-04-01,21589877379688.3
2011-07-01,21589046491440.5
2011-10-01,21940709283522.3
2012-01-01,22243662935348.906
2012-04-01,22501233491785.3
2012-07-01,22904904868248.7
2012-10-01,23176755564158.0
2013-01-01,23547290035807.9
2013-04-01,23877850144954.5
2013-07-01,24260163330593.0
2013-10-01,24794159565866.4
2014-01-01,25081528368586.0
2014-04-01,25655813155994.6
2014-07-01,26124235225877.8
2014-10-01,26524964627840.4
2015-01-01,26971712380287.2
2015-04-01,27549365756927.1
2015-07-01,28057992295943.2
2015-10-01,28628299996207.2
2016-01-01,29459251840922.5
2016-04-01,29983955615406.0
2016-07-01,30670962346405.7
2016-10-01,31089003778821.2
2017-01-01,31338013529367.1
2017-04-01,31979100161898.8
2017-07-01,32510324465574.0
2017-10-01,33119802415264.6
2018-01-01,33836590717262.5
2018-04-01,34281648464753.8
2018-07-01,34761261813828.8
2018-10-01,35297565998292.2
2019-01-01,35692686243125.2
2019-04-01,36020231889011.4
2019-07-01,36303564166541.59
2019-10-01,36535526849369.2
2020-01-01,36833355745077.7
2020-04-01,27287497270719.3
2020-07-01,33597668443642.9
2020-10-01,36733171398864.9
2021-01-01,37509066026773.0
