,Date,Bank Rate,Repo,Reverse,Cash Reserve Ratio
0,2021-05-22,4.25,4.0,3.35,4.0
1,2021-03-27,4.25,4.0,3.35,3.5
2,2020-05-22,4.25,4.0,3.35,3.0
3,2020-04-17,4.65,4.4,3.75,3.0
4,2020-04-11,4.65,4.4,4.0,3.0
5,2020-03-28,4.65,4.4,4.0,3.0
6,2020-03-27,4.65,4.4,4.0,4.0
7,2020-01-04,5.4,5.15,4.9,4.0
8,2019-10-12,5.4,5.15,4.9,4.0
9,2019-10-04,5.4,5.15,4.9,4.0
10,2019-08-07,5.65,5.4,5.15,4.0
11,2019-07-06,6.0,5.75,5.5,4.0
12,2019-06-06,6.0,5.75,5.5,4.0
13,2019-04-13,6.25,6.0,5.75,4.0
14,2019-04-04,6.25,6.0,5.75,4.0
15,2019-02-07,6.5,6.25,6.0,4.0
16,2019-01-05,6.75,6.5,6.25,4.0
17,2018-08-01,6.75,6.5,6.25,4.0
18,2018-06-06,6.5,6.25,6.0,4.0
19,2017-10-14,6.25,6.0,5.75,4.0
20,2017-08-02,6.25,6.0,5.75,4.0
21,2017-06-24,6.5,6.25,6.0,4.0
22,2017-04-06,6.5,6.25,6.0,4.0
23,2017-01-07,6.75,6.25,5.75,4.0
24,2016-10-04,6.75,6.25,5.75,4.0
25,2016-10-01,7.0,6.5,6.0,4.0
26,2016-07-09,7.0,6.5,6.0,4.0
27,2016-04-05,7.0,6.5,6.0,4.0
28,2016-04-02,7.75,6.75,5.75,4.0
29,2015-09-29,7.75,6.75,5.75,4.0
30,2015-06-27,8.25,7.25,6.25,4.0
31,2015-06-02,8.25,7.25,6.25,4.0
32,2015-03-04,8.5,7.5,6.5,4.0
33,2015-02-07,8.75,7.75,6.75,4.0
34,2015-01-15,8.75,7.75,6.75,4.0
35,2014-08-09,9.0,8.0,7.0,4.0
36,2014-06-14,9.0,8.0,7.0,4.0
37,2014-01-28,9.0,8.0,7.0,4.0
38,2013-10-29,8.75,7.75,6.75,4.0
39,2013-10-07,9.0,7.5,6.5,4.0
40,2013-09-20,9.5,7.5,6.5,4.0
41,2013-07-15,10.25,7.25,6.25,4.0
42,2013-05-03,8.25,7.25,6.25,4.0
43,2013-03-19,8.5,7.5,6.5,4.0
44,2013-02-09,8.75,7.75,6.75,4.0
45,2013-01-29,8.75,7.75,6.75,4.25
46,2012-11-03,9.0,8.0,7.0,4.25
47,2012-09-22,9.0,8.0,7.0,4.5
48,2012-08-11,9.0,8.0,7.0,4.75
49,2012-04-17,9.0,8.0,7.0,4.75
50,2012-03-10,9.5,8.5,7.5,4.75
51,2012-02-13,9.5,8.5,7.5,5.5
52,2012-01-28,6.0,8.5,7.5,5.5
53,2011-10-25,6.0,8.5,7.5,6.0
54,2011-09-16,6.0,8.25,7.25,6.0
55,2011-07-26,6.0,8.0,7.0,6.0
56,2011-06-16,6.0,7.5,6.5,6.0
57,2011-05-03,6.0,7.25,6.25,6.0
58,2011-03-17,6.0,6.75,5.75,6.0
59,2011-01-25,6.0,6.5,5.5,6.0
60,2010-12-18,6.0,6.25,5.25,6.0
61,2010-11-02,6.0,6.25,5.25,6.0
62,2010-09-16,6.0,6.0,5.0,6.0
63,2010-07-27,6.0,5.75,4.5,6.0
64,2010-07-02,6.0,5.5,4.0,6.0
65,2010-04-24,6.0,5.25,3.75,6.0
66,2010-04-20,6.0,5.25,3.75,5.75
67,2010-03-19,6.0,5.0,3.5,5.75
68,2010-02-27,6.0,4.75,3.25,5.75
69,2010-02-13,6.0,4.75,3.25,5.5
70,2009-11-07,6.0,4.75,3.25,5.0
71,2009-04-21,6.0,4.75,3.25,5.0
72,2009-03-05,6.0,5.0,3.5,5.0
73,2009-01-17,6.0,5.5,4.0,5.0
74,2009-01-05,6.0,5.5,4.0,5.5
75,2008-12-08,6.0,6.5,5.0,5.5
76,2008-11-08,6.0,7.5,6.0,5.5
77,2008-11-03,6.0,7.5,6.0,6.0
78,2008-10-25,6.0,8.0,6.0,6.0
79,2008-10-20,6.0,8.0,6.0,6.5
80,2008-10-11,6.0,9.0,6.0,6.5
81,2008-08-30,6.0,9.0,6.0,9.0
82,2008-07-30,6.0,9.0,6.0,8.75
83,2008-07-19,6.0,8.5,6.0,8.75
84,2008-07-05,6.0,8.5,6.0,8.5
