,Date,Bank Rate,Repo,Reverse,Cash Reserve Ratio
85,2008-06-25,6.0,8.5,6.0,8.25
86,2008-06-12,6.0,8.0,6.0,8.25
87,2008-05-24,6.0,7.75,6.0,8.25
88,2008-05-10,6.0,7.75,6.0,8.0
89,2008-04-26,6.0,7.75,6.0,7.75
90,2007-11-10,6.0,7.75,6.0,7.5
91,2007-08-04,6.0,7.75,6.0,7.0
92,2007-04-28,6.0,7.75,6.0,6.5
93,2007-04-14,6.0,7.75,6.0,6.25
94,2007-03-31,6.0,7.75,6.0,6.0
95,2007-03-03,6.0,7.5,6.0,6.0
96,2007-02-17,6.0,7.5,6.0,5.75
97,2007-01-31,6.0,7.5,6.0,5.5
98,2007-01-06,6.0,7.25,6.0,5.5
99,2006-12-23,6.0,7.25,6.0,5.25
100,2006-10-31,6.0,7.25,6.0,5.0
101,2006-07-25,6.0,7.0,6.0,5.0
102,2006-06-08,6.0,6.75,5.75,5.0
103,2006-01-24,6.0,6.5,5.5,5.0
104,2005-10-26,6.0,6.25,5.25,5.0
105,2005-04-29,6.0,6.0,5.0,5.0
106,2004-10-27,6.0,6.0,4.75,5.0
107,2004-10-02,6.0,6.0,4.5,5.0
108,2004-09-18,6.0,6.0,4.5,4.75
109,2004-06-14,6.0,6.0,4.5,4.5
110,2004-03-31,6.0,6.0,4.5,4.5
111,2003-08-25,6.0,7.0,4.5,4.5
112,2003-06-14,6.0,7.0,5.0,4.5
113,2003-04-29,6.0,7.0,5.0,4.75
114,2003-03-19,6.25,7.0,5.0,4.75
115,2003-03-07,6.25,7.1,5.0,4.75
116,2003-03-03,6.25,7.5,5.0,4.75
117,2002-11-16,6.25,7.5,5.5,4.75
118,2002-11-12,6.25,7.5,5.5,5.0
119,2002-10-29,6.25,8.0,5.5,5.0
120,2002-06-27,6.5,8.0,5.75,5.0
121,2002-06-01,6.5,8.0,6.0,5.0
122,2002-03-28,6.5,8.0,6.0,5.5
123,2002-03-05,6.5,8.5,6.0,5.5
124,2001-12-29,6.5,8.5,6.5,5.5
125,2001-11-03,6.5,8.5,6.5,5.75
126,2001-10-23,6.5,8.5,6.5,7.5
127,2001-06-07,7.0,8.5,6.5,7.5
128,2001-05-28,7.0,8.75,6.5,7.5
129,2001-05-19,7.0,8.75,6.75,7.5
130,2001-04-30,7.0,8.75,6.75,8.0
131,2001-04-27,7.0,9.0,6.75,8.0
