State,Date,Confirmed,Recovered,Deceased,Tested
AN,2020-03-26,1,,,
AN,2020-03-27,6,,,
AN,2020-03-28,9,,,
AN,2020-03-29,9,,,
AN,2020-03-30,10,,,
AN,2020-03-31,10,,,
AN,2020-04-01,10,,,
AN,2020-04-02,10,,,
AN,2020-04-03,10,,,
AN,2020-04-04,10,,,
AN,2020-04-05,10,,,
AN,2020-04-06,10,,,
AN,2020-04-07,10,,,
AN,2020-04-08,11,,,
AN,2020-04-09,11,10,,
AN,2020-04-10,11,10,,
AN,2020-04-11,11,10,,
AN,2020-04-12,11,10,,
AN,2020-04-13,11,10,,
AN,2020-04-14,11,10,,
AN,2020-04-15,11,10,,
AN,2020-04-16,11,11,,
AN,2020-04-17,12,11,,1403
AN,2020-04-18,14,11,,1403
AN,2020-04-19,15,11,,1403
AN,2020-04-20,16,11,,1403
AN,2020-04-21,17,11,,1403
AN,2020-04-22,18,11,,1403
AN,2020-04-23,22,11,,1403
AN,2020-04-24,29,11,,2679
AN,2020-04-25,33,11,,2679
AN,2020-04-26,33,11,,2679
AN,2020-04-27,33,11,,2848
AN,2020-04-28,33,15,,2848
AN,2020-04-29,33,15,,2848
AN,2020-04-30,33,16,,2848
AN,2020-05-01,33,16,,3754
AN,2020-05-02,33,26,,3754
AN,2020-05-03,33,32,,3754
AN,2020-05-04,33,32,,3754
AN,2020-05-05,33,32,,3754
AN,2020-05-06,33,32,,3754
AN,2020-05-07,33,33,,3754
AN,2020-05-08,33,33,,3754
AN,2020-05-09,33,33,,3754
AN,2020-05-10,33,33,,3754
AN,2020-05-11,33,33,,3754
AN,2020-05-12,33,33,,3754
AN,2020-05-13,33,33,,3754
AN,2020-05-14,33,33,,3754
AN,2020-05-15,33,33,,3754
AN,2020-05-16,33,33,,6677
AN,2020-05-17,33,33,,6677
AN,2020-05-18,33,33,,6677
AN,2020-05-19,33,33,,6965
AN,2020-05-20,33,33,,7082
AN,2020-05-21,33,33,,7167
AN,2020-05-22,33,33,,7263
AN,2020-05-23,33,33,,7327
AN,2020-05-24,33,33,,7327
AN,2020-05-25,33,33,,7363
AN,2020-05-26,33,33,,7448
AN,2020-05-27,33,33,,7499
AN,2020-05-28,33,33,,7519
AN,2020-05-29,33,33,,7567
AN,2020-05-30,33,33,,7567
AN,2020-05-31,33,33,,7706
AN,2020-06-01,33,33,,7805
AN,2020-06-02,33,33,,8086
AN,2020-06-03,33,33,,8295
AN,2020-06-04,33,33,,8413
AN,2020-06-05,33,33,,8694
AN,2020-06-06,33,33,,9037
AN,2020-06-07,33,33,,9242
AN,2020-06-08,33,33,,9341
AN,2020-06-09,34,33,,9859
AN,2020-06-10,35,33,,10010
AN,2020-06-11,38,33,,10226
AN,2020-06-12,38,33,,10697
AN,2020-06-13,38,33,,10955
AN,2020-06-14,40,33,,11356
AN,2020-06-15,41,33,,11518
AN,2020-06-16,44,33,,11809
AN,2020-06-17,44,33,,12239
AN,2020-06-18,45,35,,12622
AN,2020-06-19,47,35,,12930
AN,2020-06-20,47,35,,13320
AN,2020-06-21,48,37,,13434
AN,2020-06-22,48,37,,13511
AN,2020-06-23,50,40,,13723
AN,2020-06-24,56,41,,13994
AN,2020-06-25,58,41,,14277
AN,2020-06-26,72,43,,14583
AN,2020-06-27,72,43,,14851
AN,2020-06-28,83,45,,15094
AN,2020-06-29,90,45,,15410
AN,2020-06-30,97,45,,15709
AN,2020-07-01,100,50,,15982
AN,2020-07-02,109,51,,16278
AN,2020-07-03,116,54,,16626
AN,2020-07-04,119,66,,16832
AN,2020-07-05,125,72,,16909
AN,2020-07-06,141,74,,17095
AN,2020-07-07,147,74,,17381
AN,2020-07-08,149,74,,17643
AN,2020-07-09,156,83,,17852
AN,2020-07-10,156,92,,18046
AN,2020-07-11,156,92,,18315
AN,2020-07-12,163,100,,18447
AN,2020-07-13,166,109,,18609
